,Date,Article Count,Article Increase,Percent Increase,Doubling Time,Avg Increase in Articles per Day
0,1/1/2003,96500,76800,390,160 days,210
1,1/1/2004,188800,92300,96,377 days,253
2,1/1/2005,438500,249700,132,301 days,682
3,1/1/2006,895000,456500,104,355 days,1251
4,1/1/2007,1560000,665000,74,342 days,1822
5,1/1/2008,2153000,593000,38,667 days,1625
6,1/1/2009,2679000,526000,24,1056 days,1437
7,1/1/2010,3144000,465000,17,1489 days,1274
8,1/1/2011,3518000,374000,12,2109 days,1025
9,1/1/2012,3835000,317000,9,2812 days,868
10,1/1/2013,4133000,298000,8,3163 days,814
11,1/1/2014,4413000,280000,7,3615 days,767
12,1/1/2015,4682000,269000,6,4217 days,736
13,1/1/2016,5045000,363000,8,3163 days,995
14,1/1/2017,5321200,276200,7,3615 days,755
15,1/1/2018,5541900,220700,4.5,5623 days,605
16,1/1/2019,5773600,231700,4.2,6150 days,635
17,1/1/2020,5989400,215800,3.75,7311 days,591
18,1/1/2021,6219700,230300,3.8,7300 days,629
19,1/1/2022,6431400,211700,3.4,7665 days,580
20,4/19/2022,6486435,54969,0.85,7773 days,509
